,Activity,Consumption,Group,Indnum,Quality_of_Life_Importance__1_10,Units,electric___off_peak_hours,electric___peak_hours,electric_water_heater___off_peak,electric_water_heater___peak_hou,gas,gas_water_heater,hybrid,jetfuel,natural_gas,solar_powered__water_heater
60,Household heating => 70F,7.0,1.0,61.0,75.0,hours,,,,,,,,,1.0,
61,Household heating => 70F,7.0,1.0,62.0,69.0,count,,,,,,,,,1.0,
62,Household heating => 70F,4.0,1.0,63.0,78.0,hours,,,,,,,,,1.0,
63,Household heating => 70F,3.0,1.0,64.0,67.0,count,,,,,,1.0,,,1.0,
64,Household heating => 70F,10.0,1.0,65.0,75.0,hours,,,,,,,,,1.0,
65,Household heating => 70F,4.0,1.0,66.0,79.0,count,,,,,,,,,1.0,
66,Household heating => 70F,9.0,1.0,67.0,89.0,hours,,,,1.0,,,,,1.0,
67,Household heating => 70F,7.0,1.0,68.0,86.0,count,,,,,,,,,1.0,
68,Household heating => 70F,2.0,1.0,69.0,93.0,hours,,,,,,,,,1.0,1.0
69,Household heating => 70F,1.0,1.0,70.0,74.0,count,,,,,,1.0,1.0,,1.0,
70,Household heating => 70F,2.0,1.0,71.0,71.0,hours,,,,,,1.0,,,1.0,
71,Household heating => 70F,4.0,1.0,72.0,79.0,count,,,,,,,,,1.0,
72,Household heating => 70F,2.0,1.0,73.0,85.0,hours,,,,,,,,,1.0,
73,Household heating => 70F,10.0,1.0,74.0,65.0,count,,,,,,1.0,,,1.0,
74,Household heating => 70F,4.0,1.0,75.0,79.0,hours,,,,,,,,,1.0,
75,Household heating => 70F,8.0,1.0,76.0,69.0,count,,,,,,1.0,,,1.0,
76,Household heating => 70F,1.0,1.0,77.0,80.0,hours,,,,,,,,,1.0,
77,Household heating => 70F,9.0,1.0,78.0,92.0,count,,,,,,,,,1.0,
78,Household heating => 70F,3.0,1.0,79.0,71.0,hours,,,1.0,,,,,,1.0,
79,Household heating => 70F,4.0,1.0,80.0,81.0,count,,,,,,,,,1.0,
80,Household heating => 70F,1.0,1.0,81.0,85.0,hours,,,,,,1.0,,,1.0,
81,Household heating => 70F,4.0,1.0,82.0,73.0,count,,,,,,,,,1.0,
82,Household heating => 70F,5.0,1.0,83.0,63.0,hours,,,1.0,,,,,,1.0,
83,Household heating => 70F,3.0,1.0,84.0,79.0,count,,,,1.0,,,,,1.0,
84,Household heating => 70F,6.0,1.0,85.0,76.0,hours,,,,1.0,,,,,1.0,
85,Household heating => 70F,5.0,1.0,86.0,91.0,count,,,,,,1.0,,,1.0,
86,Household heating => 70F,5.0,1.0,87.0,88.0,hours,,,,,,,,,1.0,
87,Household heating => 70F,2.0,1.0,88.0,88.0,count,,,,1.0,,,,,1.0,
88,Household heating => 70F,3.0,1.0,89.0,90.0,hours,,,,,,,,,1.0,
89,Household heating => 70F,10.0,1.0,90.0,86.0,count,,,,1.0,,,,,1.0,1.0
90,Household heating => 70F,6.0,1.0,91.0,61.0,hours,,,,,,,,,1.0,
91,Household heating => 70F,7.0,1.0,92.0,89.0,count,,,,,,1.0,,,1.0,
92,Household heating => 70F,8.0,1.0,93.0,62.0,hours,,,,,,1.0,,,1.0,
93,Household heating => 70F,4.0,1.0,94.0,67.0,count,,,,1.0,,,,,1.0,1.0
94,Household heating => 70F,2.0,1.0,95.0,74.0,hours,,,,,,,,,1.0,
95,Household heating => 70F,10.0,1.0,96.0,74.0,count,,,,,,,,,1.0,
96,Household heating => 70F,10.0,1.0,97.0,72.0,hours,,,,,,,,,1.0,
97,Household heating => 70F,2.0,1.0,98.0,90.0,count,,,,,,,,,1.0,
98,Household heating => 70F,4.0,1.0,99.0,71.0,hours,,,,1.0,,,,,1.0,
99,Household heating => 70F,5.0,1.0,100.0,63.0,count,,,,1.0,,,,,1.0,
100,Household heating => 70F,5.0,1.0,101.0,70.0,hours,,,,,,,,,1.0,
101,Household heating => 70F,6.0,1.0,102.0,73.0,count,,,,,,1.0,,,1.0,
102,Household heating => 70F,6.0,1.0,103.0,74.0,hours,,,,,,,,,1.0,
103,Household heating => 70F,3.0,1.0,104.0,62.0,count,,,,,,1.0,,,1.0,
104,Household heating => 70F,4.0,1.0,105.0,81.0,hours,,,,,,,,,1.0,
105,Household heating => 70F,1.0,1.0,106.0,62.0,count,,,,,,,,,1.0,
106,Household heating => 70F,4.0,1.0,107.0,80.0,hours,,,,,,,,,1.0,
107,Household heating => 70F,5.0,1.0,108.0,79.0,count,,,,,,,,,1.0,
108,Household heating => 70F,9.0,1.0,109.0,68.0,hours,,,,,,,,,1.0,
109,Household heating => 70F,2.0,1.0,110.0,87.0,count,,,,1.0,,,,,1.0,
110,Household heating => 70F,5.0,1.0,111.0,87.0,hours,,,,,,,,,1.0,
111,Household heating => 70F,3.0,1.0,112.0,83.0,count,,,,,,1.0,,,1.0,
112,Household heating => 70F,10.0,1.0,113.0,90.0,hours,,,,,,,,,1.0,
113,Household heating => 70F,8.0,1.0,114.0,78.0,count,,,1.0,1.0,,,,,1.0,
114,Household heating => 70F,8.0,1.0,115.0,87.0,hours,,,,,,1.0,,,1.0,
115,Household heating => 70F,6.0,1.0,116.0,70.0,count,,,,,,,,,1.0,
116,Household heating => 70F,4.0,1.0,117.0,62.0,hours,,,,,1.0,,,,1.0,
117,Household heating => 70F,3.0,1.0,118.0,70.0,count,,,,,,,,,1.0,
118,Household heating => 70F,10.0,1.0,119.0,74.0,hours,,,1.0,,,,,,1.0,
119,Household heating => 70F,7.0,1.0,120.0,89.0,count,,,,,,,,,1.0,
120,Household heating => 70F,7.0,1.0,121.0,77.0,hours,,,,,,1.0,,,1.0,
121,Household heating => 70F,6.0,1.0,122.0,73.0,count,,,,,,,,,1.0,
122,Household heating => 70F,10.0,1.0,123.0,90.0,hours,,,,,,1.0,,,1.0,
123,Household heating => 70F,10.0,1.0,124.0,68.0,count,,,,,,,,,1.0,
124,Household heating => 70F,2.0,1.0,125.0,62.0,hours,,,,,,,,,1.0,
125,Household heating => 70F,9.0,1.0,126.0,69.0,count,,,,,,,,,1.0,
126,Household heating => 70F,6.0,1.0,127.0,81.0,hours,,,,1.0,,,,,1.0,
127,Household heating => 70F,2.0,1.0,128.0,65.0,count,,,,,,,,,1.0,
128,Household heating => 70F,10.0,1.0,129.0,63.0,hours,,,1.0,,,,,,1.0,
129,Household heating => 70F,3.0,1.0,130.0,84.0,count,,,,,,,,,1.0,
130,Household heating => 70F,8.0,1.0,131.0,71.0,hours,,,,,,,,,1.0,
131,Household heating => 70F,4.0,1.0,132.0,79.0,count,,,,,,,,,1.0,
132,Household heating => 70F,6.0,1.0,133.0,72.0,hours,,,,,,,,,1.0,
133,Household heating => 70F,10.0,1.0,134.0,85.0,count,,,,,,,,,1.0,
134,Household heating => 70F,6.0,1.0,135.0,77.0,hours,,,,1.0,,,,,1.0,
135,Household heating => 70F,7.0,1.0,136.0,62.0,count,,,,,,,,,1.0,
136,Household heating => 70F,8.0,1.0,137.0,90.0,hours,,,,,,1.0,,,1.0,
137,Household heating => 70F,6.0,1.0,138.0,92.0,count,,,,,,,,,1.0,
138,Household heating => 70F,5.0,1.0,139.0,70.0,hours,,,,,,,,,1.0,
139,Household heating => 70F,2.0,1.0,140.0,61.0,count,,,,,,,,,1.0,
140,Household heating => 70F,7.0,1.0,141.0,75.0,hours,,,,,,,,,1.0,
141,Household heating => 70F,6.0,1.0,142.0,64.0,count,,,1.0,,,,,,1.0,
142,Household heating => 70F,6.0,1.0,143.0,69.0,hours,,,,,,,,,1.0,
143,Household heating => 70F,3.0,1.0,144.0,83.0,count,,,,,,,,,1.0,
144,Household heating => 70F,10.0,1.0,145.0,92.0,hours,,,1.0,,,,,,1.0,
145,Household heating => 70F,10.0,1.0,146.0,70.0,count,,,1.0,,,,,,1.0,
146,Household heating => 70F,5.0,1.0,147.0,77.0,hours,,,,,,1.0,,,1.0,
147,Household heating => 70F,5.0,1.0,148.0,73.0,count,,,,,,,,,1.0,1.0
148,Household heating => 70F,9.0,1.0,149.0,64.0,hours,,,,,,,,,1.0,
149,Household heating => 70F,3.0,1.0,150.0,82.0,count,,,,,,,,,1.0,
150,Household heating => 70F,3.0,1.0,151.0,68.0,hours,,,,,,,,,1.0,
151,Household heating => 70F,2.0,1.0,152.0,66.0,count,,,,,,1.0,,,1.0,
152,Household heating => 70F,5.0,1.0,153.0,84.0,hours,,,,,,,,,1.0,
153,Household heating => 70F,5.0,1.0,154.0,77.0,count,,,,,,,,,1.0,
154,Household heating => 70F,6.0,1.0,155.0,74.0,hours,,,,,,,,,1.0,
155,Household heating => 70F,3.0,1.0,156.0,81.0,count,,,,,,,,,1.0,
156,Household heating => 70F,7.0,1.0,157.0,66.0,hours,,,,,,,,,1.0,
157,Household heating => 70F,8.0,1.0,158.0,72.0,count,,1.0,,,,,,,1.0,
158,Household heating => 70F,2.0,1.0,159.0,62.0,hours,,,1.0,,,,,,1.0,
159,Household heating => 70F,2.0,1.0,160.0,85.0,count,,,,,,,,,1.0,
160,Household heating => 70F,3.0,1.0,161.0,73.0,hours,,,1.0,1.0,,,,,1.0,
161,Household heating => 70F,3.0,1.0,162.0,68.0,count,,1.0,,,,,,,1.0,
162,Household heating => 70F,9.0,1.0,163.0,63.0,hours,,,,,,,,,1.0,
163,Household heating => 70F,7.0,1.0,164.0,80.0,count,,,1.0,,,,,,1.0,
164,Household heating => 70F,5.0,1.0,165.0,93.0,hours,,,,1.0,,,,,1.0,
165,Household heating => 70F,5.0,1.0,166.0,65.0,count,,,,,1.0,,,,1.0,
166,Household heating => 70F,10.0,1.0,167.0,81.0,hours,,,,,,,,,1.0,
167,Household heating => 70F,8.0,1.0,168.0,93.0,count,,,,,,1.0,,,1.0,
168,Household heating => 70F,3.0,1.0,169.0,81.0,hours,,,,,,,,,1.0,
169,Household heating => 70F,7.0,1.0,170.0,65.0,count,,,,,,,,,1.0,
170,Household heating => 70F,8.0,1.0,171.0,77.0,hours,,,,,,,,,1.0,
171,Household heating => 70F,5.0,1.0,172.0,80.0,count,,,,,,,,,1.0,
172,Household heating => 70F,6.0,1.0,173.0,64.0,hours,,,1.0,1.0,,,,,1.0,
173,Household heating => 70F,6.0,1.0,174.0,91.0,count,,,,,,1.0,,,1.0,
174,Household heating => 70F,2.0,1.0,175.0,88.0,hours,,,,,,,,,1.0,
175,Household heating => 70F,10.0,1.0,176.0,70.0,count,,,,,,,,,1.0,
176,Household heating => 70F,1.0,1.0,177.0,69.0,hours,,,,,,,,,1.0,
177,Household heating => 70F,8.0,1.0,178.0,87.0,count,,,,,,,,,1.0,
178,Household heating => 70F,4.0,1.0,179.0,88.0,hours,,,,,,,,,1.0,
179,Household heating => 70F,4.0,1.0,180.0,84.0,count,,,,,,,,,1.0,
180,Household heating => 70F,1.0,1.0,181.0,85.0,hours,,,1.0,,,,,,1.0,
181,Household heating => 70F,5.0,1.0,182.0,82.0,count,,,,1.0,,,,,1.0,
182,Household heating => 70F,7.0,1.0,183.0,67.0,hours,,,,,,,,,1.0,1.0
183,Household heating => 70F,4.0,1.0,184.0,75.0,count,,,,,,,1.0,,1.0,
184,Household heating => 70F,10.0,1.0,185.0,72.0,hours,,1.0,,,,,,,1.0,
185,Household heating => 70F,1.0,1.0,186.0,81.0,count,,,,,,,,,1.0,
186,Household heating => 70F,6.0,1.0,187.0,88.0,hours,,,,,,1.0,,,1.0,
187,Household heating => 70F,3.0,1.0,188.0,80.0,count,,,,,,,,,1.0,
188,Household heating => 70F,9.0,1.0,189.0,88.0,hours,,,,,,,,,1.0,
189,Household heating => 70F,1.0,1.0,190.0,67.0,count,,,,,,,,,1.0,
190,Household heating => 70F,9.0,1.0,191.0,75.0,hours,,,,,,,,,1.0,
191,Household heating => 70F,9.0,1.0,192.0,77.0,count,,,,,,,,,1.0,
192,Household heating => 70F,3.0,1.0,193.0,90.0,hours,,,,,,1.0,,,1.0,
193,Household heating => 70F,3.0,1.0,194.0,62.0,count,,,,,,,,,1.0,
194,Household heating => 70F,9.0,1.0,195.0,72.0,hours,,,,,,,,,1.0,
195,Household heating => 70F,6.0,1.0,196.0,92.0,count,,,,,,,,,1.0,
196,Household heating => 70F,9.0,1.0,197.0,87.0,hours,,,,,,,,,1.0,
197,Household heating => 70F,1.0,1.0,198.0,72.0,count,,,,,,1.0,,,1.0,
198,Household heating => 70F,2.0,1.0,199.0,80.0,hours,,,,,,,,,1.0,1.0
199,Household heating => 70F,10.0,1.0,200.0,82.0,count,,,,,,,,,1.0,
200,Household heating => 70F,5.0,1.0,201.0,70.0,hours,,,1.0,,,,,,1.0,
201,Household heating => 70F,3.0,1.0,202.0,83.0,count,,,,1.0,,,,,1.0,
202,Household heating => 70F,2.0,1.0,203.0,82.0,hours,,,,,,1.0,,,1.0,
203,Household heating => 70F,7.0,1.0,204.0,78.0,count,,,,,,,,,1.0,
204,Household heating => 70F,3.0,1.0,205.0,67.0,hours,,,,,,,,,1.0,
205,Household heating => 70F,5.0,1.0,206.0,69.0,count,,,,,,,,,1.0,
206,Household heating => 70F,9.0,1.0,207.0,79.0,hours,,,,,,,,,1.0,
207,Household heating => 70F,4.0,1.0,208.0,83.0,count,,,1.0,1.0,,,,,1.0,
208,Household heating => 70F,7.0,1.0,209.0,60.0,hours,,,1.0,,,,,,1.0,
209,Household heating => 70F,5.0,1.0,210.0,86.0,count,,,,,,,,,1.0,
210,Household heating => 70F,1.0,1.0,211.0,83.0,hours,,,,,,,,,1.0,
211,Household heating => 70F,1.0,1.0,212.0,84.0,count,,,,,,,,,1.0,
212,Household heating => 70F,6.0,1.0,213.0,87.0,hours,,,,1.0,,,,,1.0,
213,Household heating => 70F,1.0,1.0,214.0,60.0,count,,,,,,,,,1.0,
214,Household heating => 70F,4.0,1.0,215.0,87.0,hours,,,,,,,,,1.0,
215,Household heating => 70F,7.0,1.0,216.0,79.0,count,,,,,,,,,1.0,
216,Household heating => 70F,10.0,1.0,217.0,91.0,hours,,,,,,,,,1.0,
217,Household heating => 70F,3.0,1.0,218.0,75.0,count,,,,1.0,,,,,1.0,
218,Household heating => 70F,3.0,1.0,219.0,81.0,hours,,,,,,,,,1.0,
219,Household heating => 70F,6.0,1.0,220.0,77.0,count,,,,,,1.0,,,1.0,
220,Household heating => 70F,10.0,1.0,221.0,65.0,hours,,,,,,,,,1.0,
221,Household heating => 70F,1.0,1.0,222.0,90.0,count,,,,,,,,,1.0,
222,Household heating => 70F,8.0,1.0,223.0,69.0,hours,,,,,,,,,1.0,
223,Household heating => 70F,3.0,1.0,224.0,91.0,count,,,,,,,,,1.0,
224,Household heating => 70F,7.0,1.0,225.0,77.0,hours,,,,,,,,,1.0,
225,Household heating => 70F,6.0,1.0,226.0,66.0,count,,,,,,1.0,,,1.0,
226,Household heating => 70F,3.0,1.0,227.0,75.0,hours,,,,,,1.0,,,1.0,
227,Household heating => 70F,3.0,1.0,228.0,68.0,count,,,,,,,,,1.0,
228,Household heating => 70F,1.0,1.0,229.0,83.0,hours,,,,,,,,,1.0,
229,Household heating => 70F,3.0,1.0,230.0,78.0,count,,,,,,,,,1.0,
230,Household heating => 70F,8.0,1.0,231.0,80.0,hours,,,,1.0,1.0,,,,1.0,
231,Household heating => 70F,9.0,1.0,232.0,82.0,count,,,,,,,,,1.0,
232,Household heating => 70F,2.0,1.0,233.0,62.0,hours,,,,,,,,,1.0,
233,Household heating => 70F,9.0,1.0,234.0,85.0,count,,,,,,,,,1.0,
234,Household heating => 70F,9.0,1.0,235.0,66.0,hours,,,,,,,,,1.0,1.0
235,Household heating => 70F,8.0,1.0,236.0,66.0,count,,,1.0,,,,,,1.0,
236,Household heating => 70F,5.0,1.0,237.0,65.0,hours,,,,,,,,,1.0,
237,Household heating => 70F,7.0,1.0,238.0,66.0,count,,,1.0,,,1.0,,,1.0,1.0
238,Household heating => 70F,4.0,1.0,239.0,72.0,hours,,,,,,,,,1.0,1.0
239,Household heating => 70F,8.0,1.0,240.0,61.0,count,,,,,,,,,1.0,
240,Household heating => 70F,1.0,1.0,241.0,90.0,hours,,,,,,,,,1.0,
241,Household heating => 70F,4.0,1.0,242.0,93.0,count,,,,,,,,,1.0,
242,Household heating => 70F,4.0,1.0,243.0,82.0,hours,,,,,,,,,1.0,
243,Household heating => 70F,10.0,1.0,244.0,76.0,count,,,,,,,,,1.0,
244,Household heating => 70F,8.0,1.0,245.0,85.0,hours,,,,,,,,,1.0,
245,Household heating => 70F,4.0,1.0,246.0,70.0,count,,,,,,,,,1.0,
246,Household heating => 70F,2.0,1.0,247.0,70.0,hours,,,1.0,,1.0,,,,1.0,
247,Household heating => 70F,4.0,1.0,248.0,91.0,count,,,1.0,,,,,,1.0,
248,Household heating => 70F,2.0,1.0,249.0,88.0,hours,,,,,,,,,1.0,
249,Household heating => 70F,8.0,1.0,250.0,88.0,count,,,,,,,,,1.0,
250,Household heating => 70F,9.0,1.0,251.0,83.0,hours,,,,,,,,,1.0,
251,Household heating => 70F,10.0,1.0,252.0,63.0,count,,,,,,,,,1.0,
252,Household heating => 70F,8.0,1.0,253.0,61.0,hours,,,,,,1.0,,,1.0,
253,Household heating => 70F,2.0,1.0,254.0,92.0,count,,,,,,,,,1.0,
254,Household heating => 70F,5.0,1.0,255.0,82.0,hours,,,,,,1.0,,,1.0,
255,Household heating => 70F,2.0,1.0,256.0,69.0,count,,,,1.0,,,,,1.0,
256,Household heating => 70F,10.0,1.0,257.0,80.0,hours,,,,,,,,,1.0,
257,Household heating => 70F,4.0,1.0,258.0,66.0,count,,,,,,1.0,,,1.0,
258,Household heating => 70F,5.0,1.0,259.0,60.0,hours,,,,,,,,,1.0,
259,Household heating => 70F,7.0,1.0,260.0,74.0,count,,,,,,,,,1.0,
260,Household heating => 70F,7.0,1.0,261.0,63.0,hours,,,,,,,,,1.0,
261,Household heating => 70F,9.0,1.0,262.0,74.0,count,,,,,,,,,1.0,
262,Household heating => 70F,5.0,1.0,263.0,64.0,hours,,,,,,,,,1.0,
263,Household heating => 70F,10.0,1.0,264.0,67.0,count,,,,,,1.0,,,1.0,
264,Household heating => 70F,5.0,1.0,265.0,76.0,hours,,,,,,,,,1.0,
265,Household heating => 70F,5.0,1.0,266.0,76.0,count,,,,,,,,,1.0,
266,Household heating => 70F,4.0,1.0,267.0,88.0,hours,,,,,,,,,1.0,
267,Household heating => 70F,9.0,1.0,268.0,90.0,count,,,,,,,,,1.0,
268,Household heating => 70F,4.0,1.0,269.0,67.0,hours,,,,,,1.0,,,1.0,
269,Household heating => 70F,7.0,1.0,270.0,77.0,count,,,,,,,1.0,,1.0,
270,Household heating => 70F,2.0,1.0,271.0,80.0,hours,,,,,,,,,1.0,
271,Household heating => 70F,6.0,1.0,272.0,63.0,count,,,,,,,,,1.0,
272,Household heating => 70F,7.0,1.0,273.0,80.0,hours,,,,1.0,,,,,1.0,1.0
273,Household heating => 70F,1.0,1.0,274.0,71.0,count,,,,1.0,,,,,1.0,
274,Household heating => 70F,8.0,1.0,275.0,63.0,hours,,,,,,1.0,,,1.0,
275,Household heating => 70F,2.0,1.0,276.0,70.0,count,,,,,,,,,1.0,
276,Household heating => 70F,10.0,1.0,277.0,79.0,hours,,,,,,,,,1.0,
277,Household heating => 70F,5.0,1.0,278.0,92.0,count,,,,,,,,,1.0,
278,Household heating => 70F,8.0,1.0,279.0,67.0,hours,,,,,,,,,1.0,
279,Household heating => 70F,3.0,1.0,280.0,62.0,count,,,,,,,,,1.0,1.0
280,Household heating => 70F,4.0,1.0,281.0,72.0,hours,,,,1.0,,,,,1.0,
281,Household heating => 70F,6.0,1.0,282.0,60.0,count,,,,,,1.0,,,1.0,
282,Household heating => 70F,1.0,1.0,283.0,83.0,hours,,,,,,1.0,,,1.0,
283,Household heating => 70F,9.0,1.0,284.0,73.0,count,,,,,,,,,1.0,
284,Household heating => 70F,6.0,1.0,285.0,88.0,hours,,,,,,,,,1.0,
285,Household heating => 70F,8.0,1.0,286.0,84.0,count,,,,,,,,,1.0,
286,Household heating => 70F,6.0,1.0,287.0,70.0,hours,,,,,,,,,1.0,
287,Household heating => 70F,8.0,1.0,288.0,85.0,count,,,,,,,,,1.0,
288,Household heating => 70F,10.0,1.0,289.0,79.0,hours,,,,,,,,,1.0,
289,Household heating => 70F,3.0,1.0,290.0,65.0,count,,,1.0,,,,,,1.0,
290,Household heating => 70F,4.0,1.0,291.0,93.0,hours,,,,,,,,,1.0,
291,Household heating => 70F,7.0,1.0,292.0,68.0,count,,,,,,,,,1.0,
292,Household heating => 70F,1.0,1.0,293.0,82.0,hours,,,,1.0,,1.0,,,1.0,
293,Household heating => 70F,3.0,1.0,294.0,76.0,count,,,,,,,,,1.0,1.0
294,Household heating => 70F,2.0,1.0,295.0,65.0,hours,,,,,,,,,1.0,
295,Household heating => 70F,5.0,1.0,296.0,69.0,count,,,,,,,,,1.0,
296,Household heating => 70F,5.0,1.0,297.0,69.0,hours,,,,,,,,,1.0,
297,Household heating => 70F,1.0,1.0,298.0,93.0,count,,,,1.0,,,,,1.0,
298,Household heating => 70F,7.0,1.0,299.0,75.0,hours,,,,,,,,,1.0,
299,Household heating => 70F,9.0,1.0,300.0,77.0,count,,,,,,1.0,,,1.0,
300,Household heating => 70F,6.0,1.0,301.0,91.0,hours,,,,1.0,,,,,1.0,
301,Household heating => 70F,7.0,1.0,302.0,83.0,count,,,,,1.0,,,,1.0,
302,Household heating => 70F,9.0,1.0,303.0,69.0,hours,,,1.0,,,,,,1.0,
303,Household heating => 70F,5.0,1.0,304.0,66.0,count,,,,,,,,,1.0,
304,Household heating => 70F,8.0,1.0,305.0,92.0,hours,,,,1.0,,,,,1.0,
305,Household heating => 70F,3.0,1.0,306.0,68.0,count,,,,,,1.0,,,1.0,
306,Household heating => 70F,2.0,1.0,307.0,71.0,hours,,,1.0,1.0,,,,,1.0,
307,Household heating => 70F,5.0,1.0,308.0,84.0,count,,1.0,,,,,,,1.0,
308,Household heating => 70F,9.0,1.0,309.0,81.0,hours,,,,,,,,,1.0,
309,Household heating => 70F,3.0,1.0,310.0,81.0,count,,,,,,,,,1.0,
310,Household heating => 70F,9.0,1.0,311.0,72.0,hours,,,1.0,,,,,,1.0,
311,Household heating => 70F,1.0,1.0,312.0,62.0,count,,1.0,,,,,,,1.0,
312,Household heating => 70F,7.0,1.0,313.0,81.0,hours,,,1.0,,,,,,1.0,
