Indnum,Group,Activity,Units,Consumption,Quality_of_Life_Importance__1_10,Name of Resource Used,Amount of Resource Used per Unit
228,1,Household heating < 70F,count,2.0,69.0,solar_powered__water_heater,1.0
228,3,use of clothes washer,count,7.0,27.0,solar_powered__water_heater,1.0
230,3,use of clothes washer,count,5.0,42.0,solar_powered__water_heater,1.0
231,3,use of self-clean feature of electric oven,count,1.0,20.0,solar_powered__water_heater,1.0
233,1,Use of air conditioner,hours,32.0,54.0,solar_powered__water_heater,1.0
235,1,Household heating => 70F,hours,9.0,66.0,solar_powered__water_heater,1.0
235,3,use of  oven,count,9.0,33.0,solar_powered__water_heater,1.0
238,1,Household heating => 70F,count,7.0,66.0,solar_powered__water_heater,1.0
238,2,wash-up,count,42.0,44.0,solar_powered__water_heater,1.0
239,1,Household heating => 70F,hours,4.0,72.0,solar_powered__water_heater,1.0
239,2,wash-up,count,45.0,30.0,solar_powered__water_heater,1.0
242,3,use of  oven,count,8.0,32.0,solar_powered__water_heater,1.0
242,3,use of self-clean feature of electric oven,count,2.0,15.0,solar_powered__water_heater,1.0
243,2,shower - long (> 3 min),count,26.0,82.0,solar_powered__water_heater,1.0
245,3,use of self-clean feature of electric oven,count,2.0,14.0,solar_powered__water_heater,1.0
247,4,TV/computer use,count,58.0,31.0,solar_powered__water_heater,1.0
248,2,wash-up,count,44.0,42.0,solar_powered__water_heater,1.0
248,3,use of clothes dryer,count,1.0,16.0,solar_powered__water_heater,1.0
253,1,Use of air conditioner,hours,22.0,45.0,solar_powered__water_heater,1.0
253,3,use of clothes washer,count,4.0,33.0,solar_powered__water_heater,1.0
253,3,use of clothes dryer,count,3.0,19.0,solar_powered__water_heater,1.0
256,2,shower - short,count,4.0,85.0,solar_powered__water_heater,1.0
256,4,TV/computer use,count,63.0,22.0,solar_powered__water_heater,1.0
258,1,Household heating < 70F,count,4.0,60.0,solar_powered__water_heater,1.0
261,2,shower - long (> 3 min),count,26.0,81.0,solar_powered__water_heater,1.0
262,3,use of  oven,count,11.0,38.0,solar_powered__water_heater,1.0
263,2,shower - long (> 3 min),count,33.0,77.0,solar_powered__water_heater,1.0
265,2,shower - short,count,7.0,83.0,solar_powered__water_heater,1.0
267,3,use of self-clean feature of electric oven,count,4.0,14.0,solar_powered__water_heater,1.0
268,2,shower - long (> 3 min),count,36.0,91.0,solar_powered__water_heater,1.0
270,1,Use of air conditioner,count,27.0,49.0,solar_powered__water_heater,1.0
271,1,Use of air conditioner,hours,14.0,45.0,solar_powered__water_heater,1.0
271,2,wash-up,count,35.0,25.0,solar_powered__water_heater,1.0
271,3,use of self-clean feature of electric oven,count,2.0,17.0,solar_powered__water_heater,1.0
273,1,Household heating => 70F,hours,7.0,80.0,solar_powered__water_heater,1.0
273,2,shower - short,count,8.0,90.0,solar_powered__water_heater,1.0
275,1,Use of air conditioner,hours,26.0,39.0,solar_powered__water_heater,1.0
276,1,Household heating < 70F,count,1.0,68.0,solar_powered__water_heater,1.0
278,2,shower - long (> 3 min),count,28.0,91.0,solar_powered__water_heater,1.0
280,1,Household heating => 70F,count,3.0,62.0,solar_powered__water_heater,1.0
281,1,Use of air conditioner,hours,21.0,43.0,solar_powered__water_heater,1.0
281,4,TV/computer use,count,62.0,22.0,solar_powered__water_heater,1.0
282,2,wash-up,count,38.0,33.0,solar_powered__water_heater,1.0
288,3,use of clothes washer,count,2.0,42.0,solar_powered__water_heater,1.0
294,1,Household heating => 70F,count,3.0,76.0,solar_powered__water_heater,1.0
294,2,shower - short,count,8.0,93.0,solar_powered__water_heater,1.0
294,3,use of clothes washer,count,8.0,35.0,solar_powered__water_heater,1.0
295,4,TV/computer use,count,61.0,21.0,solar_powered__water_heater,1.0
301,2,wash-up,count,33.0,24.0,solar_powered__water_heater,1.0
301,4,TV/computer use,count,61.0,30.0,solar_powered__water_heater,1.0
302,3,use of clothes dryer,count,4.0,20.0,solar_powered__water_heater,1.0
303,3,use of clothes washer,count,6.0,36.0,solar_powered__water_heater,1.0
303,4,TV/computer use,count,61.0,24.0,solar_powered__water_heater,1.0
308,1,Household heating < 70F,count,3.0,81.0,solar_powered__water_heater,1.0
308,2,shower - long (> 3 min),count,32.0,82.0,solar_powered__water_heater,1.0
308,3,use of  oven,count,11.0,34.0,solar_powered__water_heater,1.0
313,3,use of clothes washer,count,3.0,44.0,solar_powered__water_heater,1.0
315,2,wash-up,count,34.0,41.0,solar_powered__water_heater,1.0
316,2,shower - long (> 3 min),count,27.0,88.0,solar_powered__water_heater,1.0
316,3,use of self-clean feature of electric oven,count,3.0,21.0,solar_powered__water_heater,1.0
317,3,use of clothes dryer,count,3.0,14.0,solar_powered__water_heater,1.0
320,3,use of self-clean feature of electric oven,count,2.0,17.0,solar_powered__water_heater,1.0
321,2,wash-up,count,55.0,30.0,solar_powered__water_heater,1.0
321,3,use of clothes washer,count,3.0,27.0,solar_powered__water_heater,1.0
321,3,use of self-clean feature of electric oven,count,3.0,12.0,solar_powered__water_heater,1.0
324,1,Household heating < 70F,count,3.0,78.0,solar_powered__water_heater,1.0
325,1,Household heating < 70F,hours,5.0,74.0,solar_powered__water_heater,1.0
326,2,wash-up,count,35.0,24.0,solar_powered__water_heater,1.0
327,2,wash-up,count,43.0,33.0,solar_powered__water_heater,1.0
328,2,wash-up,count,33.0,33.0,solar_powered__water_heater,1.0
330,1,Household heating < 70F,count,4.0,78.0,solar_powered__water_heater,1.0
330,2,shower - short,count,3.0,94.0,solar_powered__water_heater,1.0
331,1,Use of air conditioner,hours,26.0,46.0,solar_powered__water_heater,1.0
332,2,shower - short,count,5.0,85.0,solar_powered__water_heater,1.0
333,3,use of clothes dryer,count,4.0,16.0,solar_powered__water_heater,1.0
334,1,Use of air conditioner,count,31.0,39.0,solar_powered__water_heater,1.0
334,2,shower - short,count,7.0,90.0,solar_powered__water_heater,1.0
336,1,Use of air conditioner,count,14.0,42.0,solar_powered__water_heater,1.0
336,3,use of  oven,count,11.0,33.0,solar_powered__water_heater,1.0
338,1,Household heating < 70F,count,7.0,79.0,solar_powered__water_heater,1.0
338,1,Use of air conditioner,count,30.0,50.0,solar_powered__water_heater,1.0
338,2,wash-up,count,39.0,25.0,solar_powered__water_heater,1.0
339,1,Household heating < 70F,hours,5.0,77.0,solar_powered__water_heater,1.0
339,3,use of  oven,count,9.0,41.0,solar_powered__water_heater,1.0
340,1,Household heating < 70F,count,10.0,67.0,solar_powered__water_heater,1.0
341,1,Household heating => 70F,hours,7.0,70.0,solar_powered__water_heater,1.0
342,3,use of clothes washer,count,4.0,44.0,solar_powered__water_heater,1.0
343,3,use of clothes washer,count,6.0,47.0,solar_powered__water_heater,1.0
344,3,use of clothes washer,count,8.0,47.0,solar_powered__water_heater,1.0
344,3,use of self-clean feature of electric oven,count,1.0,14.0,solar_powered__water_heater,1.0
350,2,shower - long (> 3 min),count,14.0,88.0,solar_powered__water_heater,1.0
350,3,use of clothes dryer,count,2.0,17.0,solar_powered__water_heater,1.0
352,1,Household heating < 70F,count,2.0,80.0,solar_powered__water_heater,1.0
352,3,use of self-clean feature of electric oven,count,4.0,16.0,solar_powered__water_heater,1.0
357,1,Household heating < 70F,hours,10.0,63.0,solar_powered__water_heater,1.0
359,2,shower - short,count,8.0,92.0,solar_powered__water_heater,1.0
364,1,Household heating => 70F,count,1.0,88.0,solar_powered__water_heater,1.0
368,3,use of clothes dryer,count,4.0,12.0,solar_powered__water_heater,1.0
369,1,Household heating => 70F,hours,8.0,66.0,solar_powered__water_heater,1.0
369,2,shower - long (> 3 min),count,26.0,73.0,solar_powered__water_heater,1.0
374,3,use of clothes dryer,count,3.0,11.0,solar_powered__water_heater,1.0
379,3,use of self-clean feature of electric oven,count,4.0,13.0,solar_powered__water_heater,1.0
382,2,wash-up,count,34.0,32.0,solar_powered__water_heater,1.0
385,1,Household heating < 70F,hours,10.0,83.0,solar_powered__water_heater,1.0
387,2,shower - short,count,2.0,97.0,solar_powered__water_heater,1.0
391,2,shower - short,count,2.0,92.0,solar_powered__water_heater,1.0
392,2,shower - long (> 3 min),count,24.0,91.0,solar_powered__water_heater,1.0
395,4,TV/computer use,count,59.0,22.0,solar_powered__water_heater,1.0
396,1,Household heating < 70F,count,3.0,87.0,solar_powered__water_heater,1.0
401,2,wash-up,count,36.0,35.0,solar_powered__water_heater,1.0
403,2,shower - short,count,5.0,98.0,solar_powered__water_heater,1.0
404,2,wash-up,count,48.0,35.0,solar_powered__water_heater,1.0
407,2,shower - short,count,8.0,82.0,solar_powered__water_heater,1.0
409,2,shower - long (> 3 min),count,21.0,92.0,solar_powered__water_heater,1.0
409,2,wash-up,count,45.0,44.0,solar_powered__water_heater,1.0
411,3,use of clothes dryer,count,3.0,12.0,solar_powered__water_heater,1.0
414,1,Use of heat pump,count,-5.0,52.0,solar_powered__water_heater,1.0
414,2,shower - long (> 3 min),count,38.0,78.0,solar_powered__water_heater,1.0
416,2,shower - short,count,3.0,97.0,solar_powered__water_heater,1.0
417,2,wash-up,count,54.0,41.0,solar_powered__water_heater,1.0
417,3,use of clothes dryer,count,4.0,13.0,solar_powered__water_heater,1.0
418,2,wash-up,count,35.0,24.0,solar_powered__water_heater,1.0
418,3,use of clothes dryer,count,1.0,21.0,solar_powered__water_heater,1.0
419,2,shower - long (> 3 min),count,15.0,91.0,solar_powered__water_heater,1.0
424,2,shower - short,count,2.0,87.0,solar_powered__water_heater,1.0
425,1,Household heating < 70F,hours,6.0,72.0,solar_powered__water_heater,1.0
427,3,use of clothes dryer,count,2.0,13.0,solar_powered__water_heater,1.0
430,2,shower - short,count,3.0,88.0,solar_powered__water_heater,1.0
432,1,Household heating < 70F,count,5.0,84.0,solar_powered__water_heater,1.0
433,2,wash-up,count,44.0,40.0,solar_powered__water_heater,1.0
435,2,shower - short,count,3.0,87.0,solar_powered__water_heater,1.0
436,2,shower - long (> 3 min),count,37.0,83.0,solar_powered__water_heater,1.0
440,2,shower - long (> 3 min),count,19.0,87.0,solar_powered__water_heater,1.0
441,1,Household heating => 70F,hours,9.0,84.0,solar_powered__water_heater,1.0
447,4,TV/computer use,count,61.0,28.0,solar_powered__water_heater,1.0
448,1,Use of air conditioner,count,21.0,44.0,solar_powered__water_heater,1.0
450,1,Use of air conditioner,count,23.0,42.0,solar_powered__water_heater,1.0
450,4,TV/computer use,count,60.0,26.0,solar_powered__water_heater,1.0
451,2,shower - long (> 3 min),count,38.0,73.0,solar_powered__water_heater,1.0
452,1,Household heating < 70F,count,1.0,70.0,solar_powered__water_heater,1.0
455,3,use of clothes dryer,count,3.0,14.0,solar_powered__water_heater,1.0
455,4,TV/computer use,count,63.0,27.0,solar_powered__water_heater,1.0
456,4,TV/computer use,count,64.0,28.0,solar_powered__water_heater,1.0
458,3,use of clothes washer,count,7.0,41.0,solar_powered__water_heater,1.0
460,1,Household heating < 70F,count,1.0,89.0,solar_powered__water_heater,1.0
460,2,wash-up,count,36.0,34.0,solar_powered__water_heater,1.0
460,3,use of clothes washer,count,2.0,27.0,solar_powered__water_heater,1.0
461,1,Household heating => 70F,hours,6.0,68.0,solar_powered__water_heater,1.0
464,2,wash-up,count,46.0,28.0,solar_powered__water_heater,1.0
464,3,use of self-clean feature of electric oven,count,4.0,16.0,solar_powered__water_heater,1.0
468,4,TV/computer use,count,60.0,31.0,solar_powered__water_heater,1.0
472,1,Household heating => 70F,count,2.0,91.0,solar_powered__water_heater,1.0
476,2,shower - long (> 3 min),count,15.0,84.0,solar_powered__water_heater,1.0
476,4,TV/computer use,count,58.0,25.0,solar_powered__water_heater,1.0
478,2,shower - long (> 3 min),count,32.0,86.0,solar_powered__water_heater,1.0
479,2,shower - long (> 3 min),count,27.0,82.0,solar_powered__water_heater,1.0
482,2,shower - long (> 3 min),count,14.0,81.0,solar_powered__water_heater,1.0
483,3,use of clothes dryer,count,4.0,11.0,solar_powered__water_heater,1.0
484,3,use of clothes dryer,count,3.0,15.0,solar_powered__water_heater,1.0
485,1,Household heating => 70F,hours,5.0,60.0,solar_powered__water_heater,1.0
486,3,use of clothes washer,count,6.0,43.0,solar_powered__water_heater,1.0
489,3,use of self-clean feature of electric oven,count,1.0,15.0,solar_powered__water_heater,1.0
492,3,use of clothes dryer,count,1.0,11.0,solar_powered__water_heater,1.0
495,1,Household heating < 70F,hours,8.0,72.0,solar_powered__water_heater,1.0
495,2,shower - short,count,4.0,85.0,solar_powered__water_heater,1.0
496,3,use of  oven,count,12.0,33.0,solar_powered__water_heater,1.0
497,2,shower - long (> 3 min),count,38.0,90.0,solar_powered__water_heater,1.0
500,3,use of clothes dryer,count,3.0,18.0,solar_powered__water_heater,1.0
501,2,shower - short,count,2.0,92.0,solar_powered__water_heater,1.0
502,2,wash-up,count,44.0,24.0,solar_powered__water_heater,1.0
503,1,Household heating < 70F,hours,3.0,93.0,solar_powered__water_heater,1.0
504,3,use of  oven,count,10.0,35.0,solar_powered__water_heater,1.0
504,3,use of self-clean feature of electric oven,count,4.0,18.0,solar_powered__water_heater,1.0
505,2,shower - long (> 3 min),count,31.0,77.0,solar_powered__water_heater,1.0
505,3,use of self-clean feature of electric oven,count,4.0,16.0,solar_powered__water_heater,1.0
508,2,shower - long (> 3 min),count,18.0,73.0,solar_powered__water_heater,1.0
508,2,wash-up,count,36.0,24.0,solar_powered__water_heater,1.0
514,3,use of  oven,count,9.0,33.0,solar_powered__water_heater,1.0
515,1,Household heating < 70F,hours,6.0,91.0,solar_powered__water_heater,1.0
519,2,shower - long (> 3 min),count,21.0,91.0,solar_powered__water_heater,1.0
520,3,use of self-clean feature of electric oven,count,4.0,21.0,solar_powered__water_heater,1.0
521,1,Use of air conditioner,hours,30.0,40.0,solar_powered__water_heater,1.0
521,4,TV/computer use,count,60.0,31.0,solar_powered__water_heater,1.0
523,4,TV/computer use,count,61.0,22.0,solar_powered__water_heater,1.0
526,1,Use of air conditioner,count,13.0,52.0,solar_powered__water_heater,1.0
526,2,wash-up,count,46.0,30.0,solar_powered__water_heater,1.0
527,2,shower - long (> 3 min),count,38.0,74.0,solar_powered__water_heater,1.0
527,3,use of clothes washer,count,3.0,41.0,solar_powered__water_heater,1.0
528,2,wash-up,count,52.0,38.0,solar_powered__water_heater,1.0
533,3,use of clothes washer,count,4.0,32.0,solar_powered__water_heater,1.0
536,1,Use of air conditioner,count,27.0,39.0,solar_powered__water_heater,1.0
536,2,shower - short,count,2.0,92.0,solar_powered__water_heater,1.0
536,3,use of self-clean feature of electric oven,count,3.0,21.0,solar_powered__water_heater,1.0
538,3,use of clothes washer,count,6.0,27.0,solar_powered__water_heater,1.0
538,3,use of clothes dryer,count,4.0,18.0,solar_powered__water_heater,1.0
541,2,wash-up,count,41.0,39.0,solar_powered__water_heater,1.0
542,3,use of clothes washer,count,4.0,46.0,solar_powered__water_heater,1.0
542,4,TV/computer use,count,58.0,30.0,solar_powered__water_heater,1.0
545,1,Use of air conditioner,hours,31.0,51.0,solar_powered__water_heater,1.0
545,4,TV/computer use,count,61.0,24.0,solar_powered__water_heater,1.0
546,1,Household heating < 70F,count,10.0,92.0,solar_powered__water_heater,1.0
546,3,use of  oven,count,11.0,38.0,solar_powered__water_heater,1.0
546,4,TV/computer use,count,59.0,21.0,solar_powered__water_heater,1.0
547,2,wash-up,count,55.0,34.0,solar_powered__water_heater,1.0
548,3,use of  oven,count,11.0,32.0,solar_powered__water_heater,1.0
554,3,use of self-clean feature of electric oven,count,1.0,11.0,solar_powered__water_heater,1.0
556,1,Household heating => 70F,count,1.0,80.0,solar_powered__water_heater,1.0
557,2,wash-up,count,35.0,28.0,solar_powered__water_heater,1.0
558,1,Use of heat pump,count,-2.0,53.0,solar_powered__water_heater,1.0
559,1,Household heating < 70F,hours,6.0,63.0,solar_powered__water_heater,1.0
562,2,wash-up,count,51.0,38.0,solar_powered__water_heater,1.0
563,1,Household heating < 70F,hours,9.0,75.0,solar_powered__water_heater,1.0
564,1,Household heating < 70F,count,2.0,76.0,solar_powered__water_heater,1.0
566,1,Use of air conditioner,count,12.0,54.0,solar_powered__water_heater,1.0
567,1,Household heating => 70F,hours,3.0,93.0,solar_powered__water_heater,1.0
568,2,bath,count,6.0,10.0,solar_powered__water_heater,1.0
569,2,shower - long (> 3 min),count,14.0,83.0,solar_powered__water_heater,1.0
574,2,wash-up,count,45.0,39.0,solar_powered__water_heater,1.0
578,2,shower - long (> 3 min),count,15.0,90.0,solar_powered__water_heater,1.0
580,3,use of self-clean feature of electric oven,count,2.0,11.0,solar_powered__water_heater,1.0
582,1,Household heating < 70F,count,7.0,62.0,solar_powered__water_heater,1.0
582,4,TV/computer use,count,61.0,31.0,solar_powered__water_heater,1.0
585,2,shower - long (> 3 min),count,34.0,80.0,solar_powered__water_heater,1.0
586,2,shower - long (> 3 min),count,38.0,89.0,solar_powered__water_heater,1.0
587,1,Household heating < 70F,hours,5.0,86.0,solar_powered__water_heater,1.0
587,4,TV/computer use,count,63.0,26.0,solar_powered__water_heater,1.0
588,3,use of  oven,count,8.0,35.0,solar_powered__water_heater,1.0
591,3,use of self-clean feature of electric oven,count,1.0,13.0,solar_powered__water_heater,1.0
594,3,use of clothes dryer,count,2.0,13.0,solar_powered__water_heater,1.0
596,2,shower - short,count,6.0,87.0,solar_powered__water_heater,1.0
598,2,shower - long (> 3 min),count,17.0,80.0,solar_powered__water_heater,1.0
600,3,use of clothes dryer,count,3.0,11.0,solar_powered__water_heater,1.0
601,1,Use of air conditioner,hours,13.0,58.0,solar_powered__water_heater,1.0
602,3,use of dishwasher,count,18.0,19.0,solar_powered__water_heater,1.0
603,3,use of  oven,count,9.0,35.0,solar_powered__water_heater,1.0
605,1,Use of air conditioner,hours,16.0,56.0,solar_powered__water_heater,1.0
605,3,use of clothes washer,count,6.0,27.0,solar_powered__water_heater,1.0
